time,ax,ay,az,atotal
583.993,0.45,-0.27,0.32,0.62
583.993,0.50,-0.13,0.22,0.56
583.993,0.33,0.12,0.11,0.36
583.993,-0.28,0.38,0.13,0.49
583.993,-0.80,0.74,0.35,1.15
583.993,-1.06,1.08,0.48,1.59
583.993,-0.67,0.89,0.39,1.18
583.993,-0.01,0.45,0.23,0.51
583.993,0.31,0.13,0.14,0.37
583.993,0.21,0.06,0.02,0.22
583.993,-0.22,0.17,0.11,0.30
583.993,-0.54,0.37,0.26,0.70
583.993,-0.67,0.50,0.42,0.93
583.993,-0.66,0.39,0.57,0.95
583.993,0.32,0.08,0.41,0.52
583.993,0.59,-0.05,0.36,0.69
583.993,0.31,-0.07,0.40,0.51
583.993,0.25,0.11,0.38,0.47
583.993,0.15,0.27,0.24,0.39
583.993,-0.40,0.50,0.46,0.79
583.993,-0.57,0.44,0.30,0.78
583.993,-0.30,0.37,0.16,0.50
583.993,-0.43,0.43,0.17,0.63
583.993,-1.28,0.41,0.31,1.38
583.993,0.70,-0.08,0.11,0.71
583.993,-1.09,0.31,0.43,1.21
583.993,-0.65,0.27,0.39,0.81
583.993,-0.38,0.36,0.30,0.60
583.993,-0.05,0.45,0.14,0.48
583.993,0.15,0.30,0.03,0.34
583.993,-0.06,0.19,-0.00,0.20
583.993,0.03,0.20,0.04,0.20
583.993,-0.32,0.39,0.12,0.52
583.993,-0.79,0.47,0.28,0.96
583.993,-0.86,0.71,0.34,1.17
583.993,-0.36,0.50,0.36,0.71
583.994,-0.45,0.43,0.33,0.70
583.994,-0.09,0.18,0.26,0.33
583.994,0.55,-0.15,0.32,0.65
583.994,0.14,-0.22,0.38,0.46
583.994,0.13,-0.25,0.29,0.41
583.994,0.25,-0.32,0.18,0.44
583.994,0.04,-0.12,0.13,0.18
583.994,-0.73,0.57,0.13,0.93
583.994,0.11,0.67,-0.08,0.68
583.994,0.32,0.61,-0.40,0.80
583.994,-0.01,0.54,-0.28,0.61
583.994,-0.74,0.58,0.04,0.94
583.994,-0.54,0.37,0.34,0.74
583.994,0.18,0.00,0.48,0.52
583.994,-0.27,-0.26,0.46,0.59
583.994,-1.00,0.09,0.54,1.14
583.994,-0.36,0.24,0.41,0.60
583.994,0.27,0.00,0.13,0.30
583.994,0.56,-0.22,-0.22,0.64
583.994,0.02,-0.21,-0.16,0.27
583.994,-0.02,-0.16,0.11,0.20
583.994,-0.19,0.27,0.15,0.36
