time,ax (m/s^2),EMA ax (m/s^2),ay (m/s^2),EMA ay (m/s^2),az (m/s^2),EMA az (m/s^2),aT (m/s^2),EMA aT (m/s^2)
495.249503,-0.0543,-0.0769764070493028,-0.051,0.000933182965394417,-0.1365,-0.06921023522538738,0.16,0.1554877259424961
495.253702,-0.0059,-0.07350926524201973,-0.023,-0.0002342893743809203,-0.0315,-0.06737071155585629,0.04,0.14985417833554507
495.265475,0.0181,-0.06904052059606754,0.0001,-0.0002179825756306315,0.0014,-0.06401604269947306,0.02,0.14351982817283554
495.270112,0.0084,-0.06526293422552766,0.0041,-7.349279258405517e-06,0.044,-0.05874696744584022,0.04,0.13847008045708745
495.281372,-0.0348,-0.0637769374340385,-0.0136,-0.0006704054119775077,0.0438,-0.053744676350921186,0.06,0.1346422716543027
495.297312,-0.0663,-0.06390001365676834,-0.0446,-0.002813312465051776,-0.085,-0.055269326285022596,0.12,0.1339280145004343
495.303502,-0.0808,-0.06472440323448696,-0.0289,-0.004085833808219982,-0.1734,-0.061031798173558076,0.19,0.13666323330529115
495.313163,-0.1116,-0.06701101771085344,0.0277,-0.0025353053297702266,-0.1833,-0.06699610070167719,0.22,0.14072844143674038
495.319885,-0.1365,-0.07040072416398255,0.0746,0.001227392491194175,-0.1639,-0.07172312017964416,0.23,0.14508315161055793
495.33646,-0.1157,-0.0726104449364712,0.0825,0.005191909930648117,0.0229,-0.06710735821966152,0.14,0.14483519299540876
495.345472,-0.0958,-0.07374164274444822,0.0196,0.0058947435925677215,0.1204,-0.05796065781870241,0.16,0.14557493967855956
495.361275,-0.0857,-0.07432497724471904,-0.046,0.003363292685613198,0.1562,-0.04751379646169253,0.18,0.14725421091375177
495.361392,-0.0709,-0.07415790518400103,-0.0952,-0.0014446728112459829,0.0973,-0.04044970882941484,0.15,0.14738815184478826
495.377035,-0.0874,-0.0748038610286839,-0.1207,-0.00726200584484374,0.0125,-0.03786679620358973,0.15,0.14751555907187175
495.393102,-0.0341,-0.07281830683216273,-0.0929,-0.011439468974363558,-0.1639,-0.04401475736439023,0.19,0.14958797082446337
495.394184,-0.029,-0.07068082845010601,-0.0489,-0.013266811951223872,-0.1914,-0.05120428139539558,0.2,0.1520470941988798
495.408929,-0.038,-0.0690866416964423,-0.0072,-0.012970869904822706,-0.2022,-0.05856992620537628,0.21,0.15487406521356858
495.410042,-0.0564,-0.06846778112588413,0.02,-0.01136253478751428,-0.1937,-0.0651616371221872,0.2,0.15707533032510182
495.425056,-0.0747,-0.06877179180267026,0.0402,-0.008847289188123338,-0.1901,-0.07125619140890976,0.21,0.15965702152875538
495.440973,-0.0872,-0.06967072878790585,-0.0007,-0.008449860447239273,-0.1164,-0.07345832841335319,0.15,0.1591859473078405
495.443403,-0.0855,-0.07044288835922752,-0.0381,-0.00989620871810565,-0.0862,-0.07407987336879937,0.13,0.15776224256111657
495.457186,-0.0697,-0.07040664990267984,-0.0849,-0.013554930244051716,-0.0419,-0.07251012344837013,0.12,0.15592018194837917
495.46019,-0.055,-0.06965510600498813,-0.1244,-0.01896200681751261,-0.0464,-0.07123645888991305,0.14,0.15514358770699482
495.476354,-0.0445,-0.06842802766328139,-0.1256,-0.024163860143487603,-0.0287,-0.06916150967577095,0.14,0.15440487611153167
495.491524,-0.0266,-0.0663876360699506,-0.061,-0.025960745014536987,-0.0537,-0.06840728969158699,0.09,0.15126317483779841
495.493158,-0.0571,-0.06593458065190422,0.0049,-0.02445534281870591,-0.0844,-0.06918742190175348,0.1,0.14876253216278384
495.508002,-0.0682,-0.06604508891278693,0.0326,-0.021672155364134887,-0.0937,-0.07038315741874111,0.12,0.14735948181337977
495.524064,-0.0896,-0.0671941089658217,0.0546,-0.01795156241954294,-0.1912,-0.07627666193490008,0.22,0.15090292172492223
495.525512,-0.0951,-0.06855537194309869,0.0465,-0.014807583764931088,-0.1695,-0.0808241418405147,0.2,0.1532979011529748
495.540098,-0.0695,-0.0686014513605085,0.0313,-0.012558433337373472,-0.0833,-0.08094491540927008,0.11,0.1511858084138053
495.542309,-0.0593,-0.06814772202584955,0.0118,-0.01137021707701379,-0.0129,-0.07762565124296422,0.06,0.14673772019849773
495.555904,-0.0752,-0.0684917355855642,-0.0102,-0.011313133317159458,-0.0117,-0.07440976581647815,0.08,0.14348222165222954
495.572009,-0.0452,-0.06735555336187814,-0.0399,-0.012707614618761435,-0.0639,-0.07389709431323531,0.09,0.14087333279114517
495.574782,-0.0114,-0.06462601417349383,-0.0763,-0.01580968219833405,-0.0434,-0.07240943117600432,0.09,0.1383917068013332
495.588062,-0.001,-0.06152230616503071,-0.1129,-0.02054579526182995,-0.0345,-0.07056019063083338,0.12,0.13749455037199987
495.591623,0.0046,-0.05829682781551702,-0.128,-0.025787463785643124,-0.0445,-0.06928896181957321,0.14,0.13761676742702428
495.60405,0.0029,-0.055311616702564965,-0.124,-0.0305783192107337,-0.0519,-0.06844071977959403,0.13,0.13724521779643772
495.620413,-0.0361,-0.0543744646682935,-0.0514,-0.031594010956551566,-0.1171,-0.07081434320497967,0.13,0.1368917925380749
