time,ax (m/s^2),EMA ax (m/s^2),ay (m/s^2),EMA ay (m/s^2),az (m/s^2),EMA az (m/s^2),aT (m/s^2),EMA aT (m/s^2)
1.031863,-9.7348,-2.0404638967956332,6.0648,1.1988828230079582,-0.4479,0.5364760270279986,11.48,3.374829214756784
1.041727,-8.9482,-2.3774266335373095,3.6333,1.3176348804222042,-2.5106,0.38783817205102294,9.98,3.6970326676954772
1.049703,-7.0565,-2.605674114828173,1.6797,1.3352965935723404,-3.2047,0.21259240756072914,7.93,3.9035188790274047
1.059059,-5.6851,-2.755890011665823,-0.1324,1.263701637788324,-3.7363,0.01996350963093746,6.8,4.044810641026068
1.068513,-4.0395,-2.8185051330479776,-1.7822,1.1151210700913323,-4.6478,-0.20773227132666927,6.41,4.160185731707723
1.078913,-1.7646,-2.767095126557832,-3.4521,0.8923297983795601,-5.2915,-0.4557209410180513,6.56,4.2772498423561265
1.092986,0.2537,-2.6197392667257424,-4.9153,0.6090307838244595,-5.2729,-0.6907052853586342,7.21,4.420310825655827
1.104673,2.493,-2.370337351275706,-5.7489,0.29888781875985176,-5.6155,-0.9309391738777252,8.41,4.614929809770176
1.106076,5.8022,-1.9716769926768911,-6.7636,-0.045623782155263026,-6.428,-1.1990884824690555,10.99,4.925908843439924
1.11584,9.8834,-1.3933805540097257,-8.3327,-0.4498714025379332,-7.7468,-1.5184890442998333,15.07,5.420742558394074
1.125135,13.3143,-0.6759327221068122,-10.1491,-0.9230045048531559,-8.8858,-1.8778700665291097,18.95,6.080706336033387
1.134503,16.0179,0.1384005814105933,-12.4022,-1.4829652607139776,-8.3871,-2.1953934779179334,21.93,6.853842612324442
1.153347,15.966,0.9104786018295887,-13.5663,-2.0723962236059785,-4.3416,-2.300086478995107,21.4,7.563411265381786
1.166132,12.3161,1.4668503773500965,-12.1163,-2.5623427492837356,4.843,-1.9516432361172966,17.94,8.069586325607064
1.177688,8.2683,1.7986284077232626,-8.8023,-2.8667309078552603,2.6465,-1.7273435660627943,12.36,8.27887479752867
1.18183,5.0964,1.9594953146635912,-6.9666,-3.0667245221062234,-0.2678,-1.6561463189377799,8.64,8.296490661063856
1.191562,4.7524,2.0957345676068306,-6.1821,-3.218694057613237,-4.1416,-1.7773879619164248,8.83,8.322515506865619
1.202114,3.1165,2.1455280033333266,-5.0017,-3.305669957241859,-7.3123,-2.047383671091233,9.39,8.374587921164856
1.21061,1.1817,2.0985120031707254,-3.9504,-3.337120203230061,-6.7017,-2.274423492013612,7.87,8.349973876229985
1.219901,-0.8745,1.9534870274062996,-2.4816,-3.29538751038957,-4.9045,-2.4027199070373384,5.57,8.214365394462668
1.232593,-5.9135,1.5697315626547725,0.5952,-3.1056027537852002,-2.7403,-2.419187228645273,6.54,8.13268903375717
1.241853,-10.939,0.9595495352081982,5.5041,-2.6856172536005563,2.7648,-2.1663098028576986,12.55,8.348167617476332
1.251503,-13.8239,0.23840565544194448,9.6405,-2.0843432412297975,7.5911,-1.6903385929622008,18.48,8.842403343453096
1.257767,-16.2192,-0.5644043765308334,12.2847,-1.3834143026332217,7.532,-1.2404684176957521,21.7,9.469603180357822
1.267327,-17.5462,-1.3927846508464024,13.5948,-0.6527697025047718,4.6289,-0.9541577631740081,22.67,10.113524976437928
1.27629,-17.7442,-2.190414667878285,12.3922,-0.016429717016734124,3.2273,-0.7501842137508856,21.88,10.687499367831201
1.285834,-16.8196,-2.9040334645671493,10.2894,0.4862936838133505,2.0905,-0.6116142521045009,19.83,11.1334750084248
1.295397,-13.4709,-3.419490368734605,7.1581,0.8117476504566017,0.6236,-0.5513598983433058,15.27,11.335256715330905
1.312817,-11.5453,-3.815871326357307,4.225,0.9782477650684747,-0.5253,-0.5500886837899738,12.31,11.382805168241592
1.314306,-9.2578,-4.081331261656951,1.8227,1.0194405570163538,-2.3675,-0.6387428943368043,9.73,11.302180525888344
1.325317,-8.2114,-4.282798029381001,-0.1501,0.9623897981375072,-4.6405,-0.833950558027692,9.43,11.210854646576719
1.342649,-2.6459,-4.2029493450209525,-3.0494,0.7666927348137265,-6.503,-1.1104895551970728,7.65,11.037154419914438
1.352138,1.3264,-3.9332249867272475,-5.1348,0.47881504043256895,-6.3043,-1.3638461622606302,8.24,10.900707862845442
1.361986,6.9267,-3.403472548350308,-8.4678,0.04239479455780942,-7.3201,-1.6543951299552335,13.16,11.010917235389567
1.378636,13.2399,-2.5916007167234634,-12.1942,-0.554512268591352,-7.3187,-1.9307026845915634,19.43,11.421604199516905
1.380438,18.598,-1.5579616573710995,-14.498,-1.2346824018307982,-4.1493,-2.0389269438797797,23.94,12.032257653199007
1.39102,19.2467,-0.5431001131090945,-15.1871,-1.9152881383268567,0.0821,-1.9354622149100342,24.52,12.641415816457592
1.400463,16.3257,0.27976818509134926,-14.1986,-2.514474082798717,4.6975,-1.6119030824753982,22.14,13.104761386386489
1.410191,12.5966,0.8805892492332348,-12.2425,-2.9890119324182916,6.7493,-1.204039517476598,18.82,13.38355351387983
1.419065,9.5238,1.3022092858560037,-10.2036,-3.3409430576661796,6.5772,-0.8244668580874956,15.43,13.48338017173935
1.428313,8.1976,1.6385698084971743,-9.5489,-3.6437702255849027,4.2265,-0.5780782308637153,13.28,13.473459187752065
1.437227,6.633,1.8822005495460925,-9.7448,-3.941381434092956,-0.7154,-0.5847768537484122,11.81,13.392314837130012
1.453344,3.6155,1.9667517422511611,-8.7457,-4.175738437307934,-2.9021,-0.6978170072240993,9.9,13.221958015806596
1.456161,0.2867,1.8847979987267143,-6.2853,-4.278643879390474,-2.0053,-0.7615966654082896,6.6,12.898935673572128
1.466094,-5.3027,1.5341883402522403,-2.0529,-4.1700710072250855,-0.5889,-0.7531724378273975,5.72,12.548743689495439
1.476535,-10.7517,0.9348767138984725,4.0141,-3.7708431532141056,1.8436,-0.6265006115919147,11.62,12.503439119276148
1.484653,-12.8566,0.26212175224488843,9.3381,-3.1313825115939053,5.0239,-0.35087131346547984,16.67,12.706685991506578
1.50387,-14.3012,-0.4482841868890086,12.4743,-2.3701297061503,5.7098,-0.055228810369602754,19.82,13.05367691875016
1.516586,-12.9511,-1.0581776411871058,10.6072,-1.7370892326795535,3.1309,0.10019210720940228,17.03,13.247643898323322
1.529441,-11.1641,-1.5511494635682226,8.2059,-1.2520653676707947,0.6918,0.12905102880894362,13.87,13.278002732551451
1.532205,-9.5827,-1.9429324165648947,5.8846,-0.9039353497356338,-2.2379,0.013590003013385393,11.47,13.189807477305038
1.543166,-8.356,-2.2557649816105094,3.7724,-0.6758214302363346,-4.8091,-0.2216631678653163,10.35,13.051280283290158
1.561293,-7.3623,-2.5048642508002406,1.9414,-0.5481520921760256,-5.8589,-0.4966503304084716,9.61,12.883412952397954
1.561724,-6.9098,-2.7197391653953504,0.7325,-0.48568125841134135,-6.5474,-0.791808850876351,9.55,12.720807442524883
1.570392,-6.5496,-2.9065616451321623,0.4704,-0.43904314824493446,-6.2382,-1.0574864679067728,9.06,12.542231469718791
1.585086,-5.9542,-3.055226930735471,0.3937,-0.39842153125737667,-6.289,-1.312682249960101,8.67,12.353342129732509
1.589158,-4.869,-3.1437036658215454,0.21,-0.368742432171651,-6.3739,-1.5595709206937547,8.02,12.141959586818727
1.600047,-2.7293,-3.1234888528546403,-0.0521,-0.3532964598705948,-6.0575,-1.7789820952940594,6.64,11.873571314290984
1.6102,-0.6464,-3.002655250276365,-0.5441,-0.3626039496330048,-5.5691,-1.9638658955236175,5.63,11.569006859935326
1.61769,0.9185,-2.811379384409225,-0.9179,-0.38969156184602893,-5.0377,-2.1138090225712456,5.2,11.258323598475066
1.626507,2.5878,-2.5480047802917016,-1.7745,-0.45724319297549093,-4.7552,-2.2426573629336235,5.7,10.987185861964086
1.636146,4.9972,-2.1799460105213746,-3.7082,-0.6158264518547353,-4.2988,-2.3429570037661294,7.56,10.820006063819497
1.645592,8.3687,-1.665377912447161,-6.2347,-0.8899178444471872,-4.2986,-2.4383542230946107,11.29,10.842932597291716
1.662233,11.0421,-1.045500941108275,-8.2271,-1.2478291691083,-3.5626,-2.4931954805046295,14.22,11.007667592545777
